"","Stream start time","Stream URL","Stream length","Watch time","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 28th September 2021 12:01","https://sullygnome.com/channel/melina/stream/43387414284","178","482914","2713","3294","548","182","54983","18327","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"2","Monday 27th September 2021 13:50","https://sullygnome.com/channel/melina/stream/43859246797","249","814479","3271","4760","377","88","84746","19940","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"3","Sunday 26th September 2021 12:44","https://sullygnome.com/channel/melina/stream/43369435852","285","1186740","4164","4994","676","142","116371","24499","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"4","Thursday 23rd September 2021 13:11","https://sullygnome.com/channel/melina/stream/43339978956","303","971418","3206","3864","876","166","114834","21873","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"5","Wednesday 22nd September 2021 16:23","https://sullygnome.com/channel/melina/stream/43332501068","171","479484","2804","3474","410","136","70191","23397","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"6","Monday 20th September 2021 17:13","https://sullygnome.com/channel/melina/stream/43315670444","256","715520","2795","3325","197","43","107097","23799","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"7","Sunday 19th September 2021 13:36","https://sullygnome.com/channel/melina/stream/43305494156","324","1466424","4526","5681","1455","264","154163","28029","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"8","Saturday 18th September 2021 13:11","https://sullygnome.com/channel/melina/stream/43295194924","363","1170312","3224","3793","600","96","134831","21572","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"9","Wednesday 15th September 2021 13:27","https://sullygnome.com/channel/melina/stream/43268355164","332","1073688","3234","4471","370","64","124899","21721","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"10","Tuesday 14th September 2021 14:29","https://sullygnome.com/channel/melina/stream/43690848829","255","696660","2732","3711","379","89","94484","22231","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"11","Monday 13th September 2021 12:06","https://sullygnome.com/channel/melina/stream/43250871852","338","1385124","4098","5753","905","157","131137","22806","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"12","Sunday 12th September 2021 13:01","https://sullygnome.com/channel/melina/stream/43241367212","268","833748","3111","3783","740","164","114297","25399","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"13","Saturday 11th September 2021 17:58","https://sullygnome.com/channel/melina/stream/43234009100","241","502967","2087","2296","363","90","83075","20768","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"14","Friday 10th September 2021 12:11","https://sullygnome.com/channel/melina/stream/43220826236","258","1025808","3976","4614","900","200","105860","23524","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"15","Wednesday 8th September 2021 13:00","https://sullygnome.com/channel/melina/stream/43202745356","284","1234264","4346","6272","455","95","107254","22579","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"16","Tuesday 7th September 2021 14:07","https://sullygnome.com/channel/melina/stream/43193980668","307","1124848","3664","5044","804","153","132902","25314","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"17","Saturday 4th September 2021 19:45","https://sullygnome.com/channel/melina/stream/43168963740","44","88000","2000","2253","79","105","8131","10841","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"18","Saturday 4th September 2021 12:21","https://sullygnome.com/channel/melina/stream/43164851964","53","110293","2081","2408","213","213","18453","18453","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"19","Friday 3rd September 2021 12:53","https://sullygnome.com/channel/melina/stream/43155114076","321","990927","3087","4932","509","92","120226","21859","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"20","Thursday 2nd September 2021 17:17","https://sullygnome.com/channel/melina/stream/43147823212","372","1464564","3937","5917","1325","212","158892","25422","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"21","Wednesday 1st September 2021 16:45","https://sullygnome.com/channel/melina/stream/43138045308","74","290450","3925","4272","352","281","18559","14847","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"22","Wednesday 1st September 2021 13:13","https://sullygnome.com/channel/melina/stream/43136270444","196","601328","3068","3861","845","241","91023","26006","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"23","Tuesday 31st August 2021 13:11","https://sullygnome.com/channel/melina/stream/43126007804","333","1264401","3797","4690","930","161","140505","24435","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"24","Monday 30th August 2021 17:49","https://sullygnome.com/channel/melina/stream/43118571420","370","1493690","4037","6063","1355","216","167312","26769","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"25","Sunday 29th August 2021 12:31","https://sullygnome.com/channel/melina/stream/43105454572","298","1404176","4712","5656","1488","297","143365","28673","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"26","Saturday 28th August 2021 14:18","https://sullygnome.com/channel/melina/stream/43096195276","416","1574144","3784","5684","1133","161","164652","23521","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"27","Thursday 26th August 2021 12:31","https://sullygnome.com/channel/melina/stream/43073755580","238","544306","2287","2677","140","35","63643","15910","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"28","Wednesday 25th August 2021 14:05","https://sullygnome.com/channel/melina/stream/43063347820","264","887304","3361","4028","485","107","95693","21265","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"29","Tuesday 24th August 2021 15:54","https://sullygnome.com/channel/melina/stream/43052584300","230","706330","3071","3913","191","47","82926","20731","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"30","Wednesday 18th August 2021 13:25","https://sullygnome.com/channel/melina/stream/42988842396","349","1266870","3630","5020","595","99","113672","18945","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"31","Tuesday 17th August 2021 13:10","https://sullygnome.com/channel/melina/stream/42978525516","439","2107639","4801","7953","598","79","172775","23036","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"32","Sunday 15th August 2021 09:50","https://sullygnome.com/channel/melina/stream/42957557388","204","740316","3629","4567","503","143","78593","22455","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Pools, Hot Tubs, and Beaches|Pools_Hot_Tubs_and_Beaches|https://static-cdn.jtvnw.net/ttv-boxart/Pools,%20Hot%20Tubs,%20and%20Beaches-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"33","Saturday 14th August 2021 15:06","https://sullygnome.com/channel/melina/stream/42949417884","413","1882867","4559","5396","670","95","170247","24321","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Pools, Hot Tubs, and Beaches|Pools_Hot_Tubs_and_Beaches|https://static-cdn.jtvnw.net/ttv-boxart/Pools,%20Hot%20Tubs,%20and%20Beaches-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"34","Friday 13th August 2021 11:40","https://sullygnome.com/channel/melina/stream/42937431692","334","1619566","4849","5995","1540","267","137023","23830","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"35","Thursday 12th August 2021 15:46","https://sullygnome.com/channel/melina/stream/42928794204","268","1152400","4300","5090","241","53","105656","23479","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"36","Wednesday 11th August 2021 13:09","https://sullygnome.com/channel/melina/stream/42917044876","110","481030","4373","6273","174","87","49831","24915","Pools, Hot Tubs, and Beaches|Pools_Hot_Tubs_and_Beaches|https://static-cdn.jtvnw.net/ttv-boxart/Pools,%20Hot%20Tubs,%20and%20Beaches-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"37","Monday 9th August 2021 14:09","https://sullygnome.com/channel/melina/stream/42897137052","246","1210320","4920","6989","340","80","115802","27247","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Pools, Hot Tubs, and Beaches|Pools_Hot_Tubs_and_Beaches|https://static-cdn.jtvnw.net/ttv-boxart/Pools,%20Hot%20Tubs,%20and%20Beaches-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"38","Sunday 8th August 2021 14:58","https://sullygnome.com/channel/melina/stream/42887617132","316","1418840","4490","5291","320","60","117521","22384","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"39","Saturday 7th August 2021 12:48","https://sullygnome.com/channel/melina/stream/42876431260","221","976378","4418","6218","668","167","86429","21607","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"40","Friday 6th August 2021 13:22","https://sullygnome.com/channel/melina/stream/42865828620","457","2224676","4868","5741","1139","151","164295","21906","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"41","Thursday 5th August 2021 12:30","https://sullygnome.com/channel/melina/stream/42855226108","554","2984398","5387","7825","1917","207","235552","25465","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"42","Wednesday 4th August 2021 13:16","https://sullygnome.com/channel/melina/stream/42845329356","103","336089","3263","3820","242","138","37622","21498","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"43","Tuesday 3rd August 2021 13:54","https://sullygnome.com/channel/melina/stream/42835304012","305","1198955","3931","5278","704","134","124298","23675","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"44","Monday 2nd August 2021 10:57","https://sullygnome.com/channel/melina/stream/42824200700","257","1105614","4302","5001","996","221","113644","25254","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"45","Saturday 31st July 2021 13:21","https://sullygnome.com/channel/melina/stream/42805938044","218","901212","4134","5499","798","212","97411","25976","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"46","Friday 30th July 2021 14:29","https://sullygnome.com/channel/melina/stream/42796464620","300","1254300","4181","7036","744","141","137143","26122","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Pools, Hot Tubs, and Beaches|Pools_Hot_Tubs_and_Beaches|https://static-cdn.jtvnw.net/ttv-boxart/Pools,%20Hot%20Tubs,%20and%20Beaches-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"47","Thursday 29th July 2021 12:19","https://sullygnome.com/channel/melina/stream/42785689612","355","2037700","5740","8250","1307","217","176933","29488","Pools, Hot Tubs, and Beaches|Pools_Hot_Tubs_and_Beaches|https://static-cdn.jtvnw.net/ttv-boxart/Pools,%20Hot%20Tubs,%20and%20Beaches-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"48","Wednesday 28th July 2021 13:08","https://sullygnome.com/channel/melina/stream/42776119196","246","1034184","4204","4985","725","170","101728","23936","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"49","Tuesday 27th July 2021 11:48","https://sullygnome.com/channel/melina/stream/42765098284","311","1655764","5324","6846","980","186","171461","32659","Pools, Hot Tubs, and Beaches|Pools_Hot_Tubs_and_Beaches|https://static-cdn.jtvnw.net/ttv-boxart/Pools,%20Hot%20Tubs,%20and%20Beaches-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"50","Monday 26th July 2021 16:15","https://sullygnome.com/channel/melina/stream/42756952748","224","818944","3656","4826","493","131","122580","32688","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"51","Sunday 25th July 2021 22:51","https://sullygnome.com/channel/melina/stream/42751325980","128","317184","2478","4170","406","180","36650","16288","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"52","Sunday 25th July 2021 14:03","https://sullygnome.com/channel/melina/stream/42746239372","296","2038552","6887","9051","1359","271","194584","38916","Pools, Hot Tubs, and Beaches|Pools_Hot_Tubs_and_Beaches|https://static-cdn.jtvnw.net/ttv-boxart/Pools,%20Hot%20Tubs,%20and%20Beaches-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"53","Saturday 24th July 2021 16:41","https://sullygnome.com/channel/melina/stream/42737875884","138","529092","3834","5684","145","58","79918","31967","Pools, Hot Tubs, and Beaches|Pools_Hot_Tubs_and_Beaches|https://static-cdn.jtvnw.net/ttv-boxart/Pools,%20Hot%20Tubs,%20and%20Beaches-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"54","Friday 23rd July 2021 13:22","https://sullygnome.com/channel/melina/stream/42726341596","142","635450","4475","5670","561","224","72930","29172","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
