"","Stream start time","Stream URL","Stream length","Watch time","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"201","Friday 12th February 2021 15:50","https://sullygnome.com/channel/melina/stream/40556435581","189","585711","3099","4184","961","295","97594","30028","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"202","Thursday 11th February 2021 12:00","https://sullygnome.com/channel/melina/stream/40539876493","254","943102","3713","5164","1166","274","112167","26392","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"203","Wednesday 10th February 2021 16:38","https://sullygnome.com/channel/melina/stream/40528413837","81","194481","2401","3492","158","105","40715","27143","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"204","Wednesday 10th February 2021 13:31","https://sullygnome.com/channel/melina/stream/40526266989","163","597395","3665","5066","934","339","89521","32553","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"205","Sunday 7th February 2021 21:26","https://sullygnome.com/channel/melina/stream/41621213374","183","588345","3215","4015","222","80","60977","22173","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"206","Saturday 6th February 2021 18:37","https://sullygnome.com/channel/melina/stream/41605917870","323","763895","2365","2769","675","122","142585","25924","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"207","Thursday 4th February 2021 20:13","https://sullygnome.com/channel/melina/stream/41581128494","241","1406235","5835","7579","1895","473","149913","37478","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"208","Thursday 4th February 2021 19:03","https://sullygnome.com/channel/melina/stream/41580464222","56","218736","3906","5252","303","303","53265","53265","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"209","Wednesday 3rd February 2021 19:58","https://sullygnome.com/channel/melina/stream/41569356622","107","412485","3855","4874","109","54","45738","22869","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"210","Tuesday 2nd February 2021 23:13","https://sullygnome.com/channel/melina/stream/41559819502","196","1005480","5130","7190","479","147","92722","28529","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"211","Sunday 31st January 2021 21:13","https://sullygnome.com/channel/melina/stream/41535721886","421","1406561","3341","4050","3764","537","177898","25414","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"212","Saturday 30th January 2021 22:44","https://sullygnome.com/channel/melina/stream/41522731678","270","882090","3267","3917","1791","398","131685","29263","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"213","Friday 29th January 2021 22:43","https://sullygnome.com/channel/melina/stream/41508223758","316","1347108","4263","5860","3867","736","156042","29722","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"214","Thursday 28th January 2021 22:07","https://sullygnome.com/channel/melina/stream/41495106654","292","1044484","3577","4654","2890","578","141916","28383","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"215","Tuesday 26th January 2021 22:02","https://sullygnome.com/channel/melina/stream/41469400926","207","841869","4067","4545","2307","709","109903","33816","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"216","Monday 25th January 2021 22:22","https://sullygnome.com/channel/melina/stream/41455678910","322","1251292","3886","5162","9723","1767","148049","26918","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"217","Sunday 24th January 2021 23:11","https://sullygnome.com/channel/melina/stream/41444219310","393","1175070","2990","4984","2210","327","138626","20537","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"218","Sunday 24th January 2021 04:20","https://sullygnome.com/channel/melina/stream/41435431278","55","126335","2297","3655","595","595","11464","11464","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"219","Saturday 23rd January 2021 22:29","https://sullygnome.com/channel/melina/stream/41430656206","165","576345","3493","4060","1943","706","81891","29778","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"220","Friday 22nd January 2021 21:55","https://sullygnome.com/channel/melina/stream/41415845950","229","962487","4203","4793","1955","521","115024","30673","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"221","Friday 22nd January 2021 00:14","https://sullygnome.com/channel/melina/stream/41405078094","285","718770","2522","3322","2011","423","90010","18949","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"222","Wednesday 20th January 2021 20:33","https://sullygnome.com/channel/melina/stream/41390331102","296","1258296","4251","5950","2682","536","167173","33434","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"223","Tuesday 19th January 2021 00:16","https://sullygnome.com/channel/melina/stream/41368459550","358","1224360","3420","4915","2802","467","110511","18418","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"224","Sunday 17th January 2021 01:07","https://sullygnome.com/channel/melina/stream/41342791598","217","796390","3670","4443","2396","638","89245","23798","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"225","Thursday 14th January 2021 21:10","https://sullygnome.com/channel/melina/stream/41312947390","139","540710","3890","4774","1437","574","70849","28339","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"226","Wednesday 13th January 2021 22:14","https://sullygnome.com/channel/melina/stream/41301579038","285","1295610","4546","7522","3016","634","140908","29664","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"227","Tuesday 12th January 2021 21:45","https://sullygnome.com/channel/melina/stream/41289170078","284","1220348","4297","5059","3295","693","151784","31954","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"228","Monday 11th January 2021 07:30","https://sullygnome.com/channel/melina/stream/41274023086","105","458430","4366","8014","1349","674","41661","20830","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"229","Saturday 9th January 2021 21:02","https://sullygnome.com/channel/melina/stream/41254805822","387","1604502","4146","5186","3780","581","189172","29103","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"230","Friday 8th January 2021 22:13","https://sullygnome.com/channel/melina/stream/41242629198","301","1355102","4502","5677","3161","632","153284","30656","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"231","Thursday 7th January 2021 20:33","https://sullygnome.com/channel/melina/stream/41229783358","296","1413104","4774","7069","3440","688","140752","28150","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"232","Thursday 7th January 2021 01:45","https://sullygnome.com/channel/melina/stream/41221752222","59","198830","3370","3558","9123","9123","22048","22048","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"233","Wednesday 6th January 2021 20:18","https://sullygnome.com/channel/melina/stream/41218135326","146","416684","2854","4356","647","258","68005","27202","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"234","Wednesday 6th January 2021 00:23","https://sullygnome.com/channel/melina/stream/41209069838","231","656502","2842","3858","1386","346","68093","17023","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"235","Tuesday 5th January 2021 03:28","https://sullygnome.com/channel/melina/stream/41199979102","121","340978","2818","3264","457","228","23888","11944","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"236","Friday 1st January 2021 03:01","https://sullygnome.com/channel/melina/stream/40035408877","119","364259","3061","3431","248","124","27099","13549","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"237","Wednesday 30th December 2020 21:26","https://sullygnome.com/channel/melina/stream/40023210109","213","510774","2398","2853","609","162","81688","21783","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"238","Tuesday 29th December 2020 21:59","https://sullygnome.com/channel/melina/stream/40013161357","315","1114470","3538","4320","1207","229","122593","23351","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"239","Sunday 27th December 2020 18:34","https://sullygnome.com/channel/melina/stream/39991276173","355","1495615","4213","4960","591","98","147095","24515","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"240","Saturday 26th December 2020 23:04","https://sullygnome.com/channel/melina/stream/41088741006","100","313300","3133","4112","127","72","44549","25456","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"241","Thursday 24th December 2020 22:01","https://sullygnome.com/channel/melina/stream/41068029918","373","1530792","4104","5174","3170","507","173589","27774","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"242","Wednesday 23rd December 2020 21:05","https://sullygnome.com/channel/melina/stream/41056821838","369","1507734","4086","5461","2655","424","188404","30144","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"243","Tuesday 22nd December 2020 22:38","https://sullygnome.com/channel/melina/stream/41046409086","231","1404480","6080","8557","3209","802","143688","35922","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"244","Monday 21st December 2020 23:48","https://sullygnome.com/channel/melina/stream/41035850574","251","1408361","5611","6698","3321","781","122425","28805","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"245","Saturday 19th December 2020 22:16","https://sullygnome.com/channel/melina/stream/41012654334","538","2773928","5156","7448","6096","677","245168","27240","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"246","Saturday 19th December 2020 00:10","https://sullygnome.com/channel/melina/stream/41001809006","199","1154001","5799","7418","3911","1117","105681","30194","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"247","Friday 18th December 2020 03:14","https://sullygnome.com/channel/melina/stream/40992972270","105","285600","2720","3104","134","76","11392","6509","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"248","Thursday 17th December 2020 20:21","https://sullygnome.com/channel/melina/stream/40988415790","308","897820","2915","3524","1968","374","135598","25828","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"249","Wednesday 16th December 2020 20:39","https://sullygnome.com/channel/melina/stream/40977454142","290","1754500","6050","7963","4990","998","166127","33225","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
