,Stream start time,Stream length,Watch time,Avg viewers,Peak viewers,Followers gained,Followers per hour,Views,Views per hour
30,Wednesday 18th August 2021 13:25,349,1266870,3630,5020,595,99,113672,18945
31,Tuesday 17th August 2021 13:10,439,2107639,4801,7953,598,79,172775,23036
8,Saturday 18th September 2021 13:11,363,1170312,3224,3793,600,96,134831,21572
171,Tuesday 16th March 2021 14:06,233,658225,2825,4427,601,150,92345,23086
123,Monday 10th May 2021 00:29,120,288720,2406,2698,604,302,48198,24099
237,Wednesday 30th December 2020 21:26,213,510774,2398,2853,609,162,81688,21783
185,Saturday 27th February 2021 14:16,238,830382,3489,4489,609,152,114265,28566
103,Tuesday 1st June 2021 06:15,105,265125,2525,2973,640,320,38228,19114
233,Wednesday 6th January 2021 20:18,146,416684,2854,4356,647,258,68005,27202
107,Friday 28th May 2021 05:17,162,281718,1739,2059,660,240,47340,17214
39,Saturday 7th August 2021 12:48,221,976378,4418,6218,668,167,86429,21607
33,Saturday 14th August 2021 15:06,413,1882867,4559,5396,670,95,170247,24321
206,Saturday 6th February 2021 18:37,323,763895,2365,2769,675,122,142585,25924
3,Sunday 26th September 2021 12:44,285,1186740,4164,4994,676,142,116371,24499
146,Saturday 10th April 2021 19:52,142,421172,2966,3710,701,280,76735,30694
98,Monday 7th June 2021 01:37,187,396627,2121,2879,704,216,44478,13685
43,Tuesday 3rd August 2021 13:54,305,1198955,3931,5278,704,134,124298,23675
183,Monday 1st March 2021 13:33,206,592250,2875,3317,710,202,99673,28478
48,Wednesday 28th July 2021 13:08,246,1034184,4204,4985,725,170,101728,23936
12,Sunday 12th September 2021 13:01,268,833748,3111,3783,740,164,114297,25399
72,Thursday 1st July 2021 18:25,185,467680,2528,2837,744,248,66487,22162
46,Friday 30th July 2021 14:29,300,1254300,4181,7036,744,141,137143,26122
180,Friday 5th March 2021 12:59,345,890445,2581,3144,749,130,116462,20254
279,Tuesday 17th November 2020 18:25,229,714709,3121,3747,754,188,80939,20234
200,Saturday 13th February 2021 12:24,230,527160,2292,2876,758,189,81910,20477
263,Tuesday 1st December 2020 07:17,87,224286,2578,2945,762,508,28767,19178
286,Tuesday 10th November 2020 19:00,90,284220,3158,5330,762,435,48524,27728
99,Sunday 6th June 2021 06:13,121,492954,4074,7326,764,339,60247,26776
278,Thursday 19th November 2020 21:11,228,536712,2354,4918,766,191,66401,16600
188,Monday 22nd February 2021 13:48,191,662388,3468,4473,776,238,102751,31615
120,Friday 14th May 2021 19:59,180,642600,3570,4129,781,260,120565,40188
143,Thursday 15th April 2021 21:57,137,377024,2752,3523,792,316,67777,27110
88,Wednesday 16th June 2021 05:07,112,217952,1946,2460,793,396,35610,17805
45,Saturday 31st July 2021 13:21,218,901212,4134,5499,798,212,97411,25976
16,Tuesday 7th September 2021 14:07,307,1124848,3664,5044,804,153,132902,25314
59,Sunday 18th July 2021 12:00,149,545042,3658,4355,806,322,70188,28075
192,Thursday 18th February 2021 16:47,177,494361,2793,3223,826,275,93243,31081
22,Wednesday 1st September 2021 13:13,196,601328,3068,3861,845,241,91023,26006
