"","Stream start time","Stream URL","Stream length","Watch time","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"121","Thursday 13th May 2021 20:04","https://sullygnome.com/channel/melina/stream/41853002045","236","881460","3735","4434","2431","607","155611","38902","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"122","Wednesday 12th May 2021 19:58","https://sullygnome.com/channel/melina/stream/41835963917","316","1549348","4903","6093","4201","800","215345","41018","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"123","Monday 10th May 2021 00:29","https://sullygnome.com/channel/melina/stream/41792393005","120","288720","2406","2698","604","302","48198","24099","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"124","Saturday 8th May 2021 22:30","https://sullygnome.com/channel/melina/stream/41773338525","209","647900","3100","3547","1462","417","104013","29718","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"125","Friday 7th May 2021 19:10","https://sullygnome.com/channel/melina/stream/41750080605","229","793943","3467","4229","2114","528","139020","34755","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"126","Thursday 6th May 2021 20:00","https://sullygnome.com/channel/melina/stream/41733947229","134","480926","3589","3906","1881","836","75219","33430","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"127","Wednesday 5th May 2021 19:58","https://sullygnome.com/channel/melina/stream/41717566445","256","1107712","4327","5017","3140","738","168214","39579","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"128","Tuesday 4th May 2021 19:30","https://sullygnome.com/channel/melina/stream/41700022637","284","1003372","3533","4139","2215","466","177932","37459","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"129","Tuesday 4th May 2021 03:29","https://sullygnome.com/channel/melina/stream/41691151933","105","235515","2243","2428","519","296","22649","12942","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"130","Monday 3rd May 2021 18:01","https://sullygnome.com/channel/melina/stream/41682024733","298","1107964","3718","4331","2893","578","189015","37803","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"131","Saturday 1st May 2021 19:59","https://sullygnome.com/channel/melina/stream/41655565837","300","1037700","3459","3917","2339","467","177646","35529","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"132","Thursday 29th April 2021 21:59","https://sullygnome.com/channel/melina/stream/41627574765","180","517140","2873","3457","1213","404","89839","29946","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"133","Wednesday 28th April 2021 20:35","https://sullygnome.com/channel/melina/stream/42454382734","234","1262196","5394","7102","2806","701","172619","43154","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"134","Wednesday 28th April 2021 01:02","https://sullygnome.com/channel/melina/stream/41605050445","252","407736","1618","2754","899","211","58470","13757","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Raid: Shadow Legends|Raid_Shadow_Legends|https://static-cdn.jtvnw.net/ttv-boxart/./Raid:%20Shadow%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"135","Monday 26th April 2021 20:20","https://sullygnome.com/channel/melina/stream/41589963597","204","781116","3829","5019","1186","364","91478","28147","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"136","Saturday 24th April 2021 19:03","https://sullygnome.com/channel/melina/stream/42418596334","401","945157","2357","2910","1406","208","186684","27656","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"137","Thursday 22nd April 2021 19:30","https://sullygnome.com/channel/melina/stream/41535638349","239","897684","3756","4573","2858","714","167757","41939","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"138","Thursday 22nd April 2021 01:04","https://sullygnome.com/channel/melina/stream/42392372910","205","422300","2060","2527","1486","424","72194","20626","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"139","Tuesday 20th April 2021 17:40","https://sullygnome.com/channel/melina/stream/41506053597","229","783180","3420","4717","2657","664","162507","40626","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"140","Monday 19th April 2021 17:44","https://sullygnome.com/channel/melina/stream/41492958765","240","2008320","8368","11094","4084","960","214468","50463","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
